No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
,,,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,,Return on Stock Price (+7),Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price
,,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Total Con ACC,Net Inc,Opr Cash Flow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,
38,SGRO,Prime Agri Resources Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.99,#DIV/0!,,,  -   ,,0.04,0.38,0.16,0.76,0.55,,0.00,0.99,"1,049,826,000,000",,  -   ,,0.03,0.40,0.09,0.80,0.56,,0.00,0.99,"483,712,000,000",,  -   ,,0.04,0.42,0.14,0.87,0.52,,0.00,0.99,"754,152,000,000",,  -   ,
39,SIMP,Salim Ivomas Pratama Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.02,0.86,#DIV/0!,,,  -   ,,0.03,0.32,0.08,0.43,0.49,,0.02,0.86,"1,198,367,000,000",,  -   ,,0.01,0.34,0.06,0.44,0.46,,0.02,0.86,"736,417,000,000",,  -   ,,0.12,0.36,0.10,0.44,0.43,,0.02,0.86,"1,549,914,000,000",,  -   ,
40,SIPD,Sreeya Sewu Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.91,#DIV/0!,,,  -   ,,-0.09,-0.23,-0.05,0.00,2.01,,0.00,0.91,"-218,103,000,000",,  -   ,,0.05,-0.22,0.01,0.00,1.86,,0.00,0.91,"-17,315,000,000",,  -   ,,0.01,-0.23,0.03,0.00,1.72,,0.00,0.91,"3,325,000,000",,  -   ,
41,SKBM,Sekar Bumi Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,#DIV/0!,,,  -   ,,0.19,0.17,0.08,0.68,1.86,,0.00,0.75,"86,221,358,302",,  -   ,,0.21,0.18,0.03,0.70,1.54,,0.00,0.75,"1,496,164,143",,  -   ,,0.17,0.14,-0.03,0.92,1.23,,0.00,0.75,"-75,222,579,818",,  -   ,
42,SKLT,Sekar Laut Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.89,#DIV/0!,,,  -   ,,0.20,0.28,0.10,2.75,1.49,,0.01,0.89,"75,154,155,539",,  -   ,,0.30,0.28,0.08,3.78,1.40,,0.01,0.89,"77,849,644,887",,  -   ,,0.24,0.29,0.11,2.04,1.51,,0.01,0.89,"109,707,478,296",,  -   ,
43,SMAR,Sinar Mas Agro Resources and T,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.99,#DIV/0!,,,  -   ,,0.27,0.38,0.19,0.61,1.76,,0.00,0.99,"5,500,519,000,000",,  -   ,,0.22,0.41,0.06,0.56,1.68,,0.00,0.99,"917,807,000,000",,  -   ,,0.24,0.37,0.06,0.41,1.74,,0.00,0.99,"1,278,172,000,000",,  -   ,
44,SSMS,Sawit Sumbermas Sarana Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.10,0.81,#DIV/0!,,,  -   ,,0.04,0.32,0.23,1.54,1.01,,0.10,0.81,"1,837,375,968,000",,  -   ,,0.02,0.17,0.10,1.00,0.90,,0.10,0.81,"512,255,637,000",,  -   ,,0.04,0.19,0.15,1.38,0.87,,0.10,0.81,"819,533,676,000",,  -   ,
45,STTP,Siantar Top Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.86,#DIV/0!,,,  -   ,,0.45,0.79,0.16,15.13,1.07,,0.00,0.86,"624,477,421,592",,  -   ,,0.55,0.83,0.20,19.35,0.87,,0.00,0.86,"917,689,903,741",,  -   ,,0.63,0.86,0.22,28.97,0.73,,0.00,0.86,"1,314,328,079,733",,  -   ,
46,TBLA,Tunas Baru Lampung Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.06,0.61,#DIV/0!,,,  -   ,,0.08,0.23,0.09,0.24,0.70,,0.06,0.61,"800,689,000,000",,  -   ,,0.13,0.23,0.08,0.24,0.59,,0.06,0.61,"611,289,000,000",,  -   ,,0.11,0.22,0.08,0.19,0.63,,0.06,0.61,"700,019,000,000",,  -   ,
47,TCID,Mandom Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.78,#DIV/0!,,,  -   ,,0.58,0.65,0.01,2.41,0.86,,0.00,0.78,"18,467,723,999",,  -   ,,0.60,0.66,0.02,2.17,0.86,,0.00,0.78,"38,116,433,207",,  -   ,,0.53,0.63,-0.07,1.58,0.80,,0.00,0.78,"-124,746,678,571",,  -   ,
48,TGKA,Tigaraksa Satria Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,0.46,0.46,0.15,3.06,3.11,,0.00,0.92,"478,138,000,000",,  -   ,,0.41,0.45,0.13,2.50,3.11,,0.00,0.92,"457,037,000,000",,  -   ,,0.43,0.46,0.11,2.34,2.86,,0.00,0.92,"412,442,000,000",,  -   ,
49,ULTJ,Ultrajaya Milk Industry & Trad,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.06,0.79,#DIV/0!,,,  -   ,,0.43,0.93,0.19,9.87,1.04,,0.06,0.79,"960,786,000,000",,  -   ,,0.49,0.79,0.21,19.88,1.10,,0.06,0.79,"1,169,212,000,000",,  -   ,,0.47,0.79,0.18,18.14,1.05,,0.06,0.79,"1,136,624,000,000",,  -   ,
50,UNVR,Unilever Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.86,#DIV/0!,,,  -   ,,-0.27,0.21,0.39,12.47,2.25,,0.03,0.86,"5,364,761,000,000",,  -   ,,-0.30,0.19,0.38,10.09,2.32,,0.03,0.86,"4,800,940,000,000",,  -   ,,-0.41,0.12,0.24,5.15,1.91,,0.03,0.86,"3,368,693,000,000",,  -   ,
51,WAPO,Wahana Pronatural Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.81,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.81,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.81,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.81,,,  -   ,
52,WIIM,Wismilak Inti Makmur Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.78,#DIV/0!,,,  -   ,,0.56,0.46,0.15,1.96,1.71,,0.01,0.78,"249,331,695,478",,  -   ,,0.58,0.51,0.25,5.06,1.89,,0.01,0.78,"494,312,833,186",,  -   ,,0.48,0.46,0.13,1.31,1.57,,0.01,0.78,"298,682,227,072",,  -   ,
53,DAYA,Duta Intidaya Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,-0.25,-0.39,-0.02,0.79,1.69,,0.00,0.92,"-40,023,559,000",,  -   ,,-0.23,-0.41,0.01,1.04,2.24,,0.00,0.92,"-16,188,988,000",,  -   ,,-0.19,-0.24,0.09,1.99,2.11,,0.00,0.92,"45,674,833,000",,  -   ,
54,DPUM,Dua Putra Utama Makmur Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.69,#DIV/0!,,,  -   ,,0.13,-0.41,-0.04,0.27,0.53,,0.00,0.69,"-45,726,829,010",,  -   ,,0.16,-0.58,-0.07,0.20,0.77,,0.00,0.69,"-142,298,507,164",,  -   ,,0.21,-0.62,0.01,0.34,0.92,,0.00,0.69,"-37,052,801,791",,  -   ,
55,KINO,Kino Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.85,#DIV/0!,,,  -   ,,-0.05,0.04,-0.16,0.67,0.78,,0.00,0.85,"-957,025,786,473",,  -   ,,-0.08,0.07,0.06,0.58,0.89,,0.00,0.85,"70,463,044,564",,  -   ,,-0.14,0.09,0.06,0.58,0.97,,0.00,0.85,"86,599,307,623",,  -   ,
56,CLEO,Sariguna Primatirta Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,#DIV/0!,,,  -   ,,0.03,0.38,0.15,11.46,0.94,,0.00,0.89,"192,467,066,577",,  -   ,,0.04,0.42,0.19,10.90,0.91,,0.00,0.89,"305,779,257,892",,  -   ,,0.03,0.52,0.24,25.76,1.01,,0.00,0.89,"465,157,220,395",,  -   ,
57,HOKI,Buyung Poetra Sembada Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.74,#DIV/0!,,,  -   ,,0.33,0.33,0.03,6.98,1.14,,0.00,0.74,"1,797,143,563",,  -   ,,0.26,0.24,0.01,4.35,1.23,,0.00,0.74,"-1,465,736,323",,  -   ,,0.26,0.22,0.02,2.30,1.16,,0.00,0.74,"-3,000,946,555",,  -   ,
58,CAMP,Campina Ice Cream Industry Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,0.65,0.12,0.15,13.51,1.05,,0.00,0.92,"121,257,336,904",,  -   ,,0.39,0.12,0.14,17.38,1.04,,0.00,0.92,"127,426,464,539",,  -   ,,0.35,0.09,0.11,10.17,1.07,,0.00,0.92,"97,110,136,525",,  -   ,
59,MGRO,Mahkota Group Tbk.,0.01,0.07,0.10,2.70,4.02,,0.00,0.80,#DIV/0!,"78,537,148,077",,  -   ,,0.03,0.03,0.03,1.55,2.93,,0.00,0.80,"-20,104,462,276",,  -   ,,-0.10,-0.02,-0.02,1.15,2.02,,0.00,0.80,"-152,233,515,056",,  -   ,,-0.08,-0.03,0.03,0.95,1.52,,0.00,0.80,"-20,850,947,852",,  -   ,
60,GOOD,Garudafood Putra Putri Jaya Tb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,1.00,#DIV/0!,,,  -   ,,0.19,0.22,0.11,4.87,1.43,,0.00,1.00,"425,208,267,424",,  -   ,,0.20,0.27,0.13,4.51,1.42,,0.00,1.00,"580,412,724,554",,  -   ,,0.12,0.27,0.12,3.43,1.45,,0.00,1.00,"624,470,577,279",,  -   ,
61,BEEF,Estika Tata Tiara Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.79,#DIV/0!,,,  -   ,,-0.42,-0.89,-0.20,0.53,0.06,,0.00,0.79,"-93,605,399,937",,  -   ,,-0.28,-0.71,0.10,3.17,0.89,,0.00,0.79,"57,069,005,210",,  -   ,,0.00,-0.18,0.08,0.55,2.25,,0.00,0.79,"102,995,767,911",,  -   ,
62,COCO,Wahana Interfood Nusantara Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.14,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.14,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.14,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.14,,,  -   ,
63,ITIC,Indonesian Tobacco Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,
64,KEJU,Mulia Boga Raya Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.97,#DIV/0!,,,  -   ,,0.57,0.47,0.18,13.70,1.21,,0.00,0.97,"117,370,750,383",,  -   ,,0.57,0.44,0.13,10.99,1.23,,0.00,0.97,"80,342,415,257",,  -   ,,0.46,0.45,0.19,19.46,1.30,,0.00,0.97,"146,880,537,264",,  -   ,
65,PSGO,Palma Serasih Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.05,0.93,#DIV/0!,,,  -   ,,0.16,-0.04,0.11,1.12,0.48,,0.05,0.93,"257,682,090,851",,  -   ,,0.29,0.09,0.19,1.29,0.49,,0.05,0.93,"549,244,217,016",,  -   ,,0.26,0.12,0.14,2.36,0.54,,0.05,0.93,"350,647,372,618",,  -   ,
66,AGAR,Asia Sejahtera Mina Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.75,,,  -   ,
67,UCID,Uni-Charm Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.13,0.82,#DIV/0!,,,  -   ,,0.35,0.43,0.05,1.41,1.23,,0.13,0.82,"313,459,000,000",,  -   ,,0.36,0.47,0.07,1.42,1.21,,0.13,0.82,"434,574,000,000",,  -   ,,0.37,0.50,0.06,1.13,1.12,,0.13,0.82,"350,405,000,000",,  -   ,
68,CSRA,Cisadane Sawit Raya Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,"214,854,888,133",,  -   ,
69,DMND,Diamond Food Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.20,0.72,#DIV/0!,,,  -   ,,0.43,0.45,0.07,5.26,1.23,,0.20,0.72,"377,895,000,000",,  -   ,,0.42,0.47,0.06,5.78,1.29,,0.20,0.72,"311,183,000,000",,  -   ,,0.41,0.49,0.06,6.06,1.32,,0.20,0.72,"363,944,000,000",,  -   ,
70,IKAN,Era Mandiri Cemerlang Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.52,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.52,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.52,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.52,,,  -   ,
71,PGUN,Pradiksi Gunatama Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,0.04,-0.05,0.11,5.03,0.43,,0.00,0.92,"172,151,655,670",,  -   ,,0.05,0.02,0.07,2.47,0.34,,0.00,0.92,"108,056,587,588",,  -   ,,0.06,0.07,0.06,2.87,0.28,,0.00,0.92,"79,181,162,728",,  -   ,
72,PNGO,Pinago Utama Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.98,#DIV/0!,,,  -   ,,0.10,0.39,0.18,1.30,1.31,,0.00,0.98,"173,128,385,854",,  -   ,,0.05,0.46,0.20,1.58,1.37,,0.00,0.98,"191,350,331,516",,  -   ,,0.01,0.48,0.19,1.58,1.16,,0.00,0.98,"220,332,580,518",,  -   ,
73,KMDS,Kurniamitra Duta Sentosa Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.79,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.79,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.79,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.79,,,  -   ,
74,ENZO,Morenzo Abadi Perkasa Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.76,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.76,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.76,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.76,,,  -   ,
75,VICI,Victoria Care Indonesia Tbk.,0.40,0.36,0.24,13.95,1.16,,0.00,0.96,#DIV/0!,"177,275,878,389",,  -   ,,0.33,0.34,0.13,9.78,0.91,,0.00,0.96,"97,639,053,688",,  -   ,,0.38,0.44,0.22,19.00,1.19,,0.00,0.96,"178,455,165,962",,  -   ,,0.39,0.47,0.18,16.83,1.09,,0.00,0.96,"175,945,630,508",,  -   ,
76,WMUU,Widodo Makmur Unggas Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.56,#DIV/0!,,,  -   ,,-0.12,0.11,0.03,0.73,0.91,,0.00,0.56,"-8,957,865,054",,  -   ,,-0.07,0.03,-0.06,0.43,0.14,,0.00,0.56,"-220,007,464,532",,  -   ,,-0.12,-0.02,-0.04,0.08,0.16,,0.00,0.56,"-120,530,353,779",,  -   ,
77,TAPG,Triputra Agro Persada Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.02,0.86,#DIV/0!,,,  -   ,,0.11,0.34,0.26,3.06,0.64,,0.02,0.86,"2,981,120,000,000",,  -   ,,0.04,0.41,0.15,4.28,0.60,,0.02,0.86,"1,608,217,000,000",,  -   ,,0.06,0.39,0.28,5.01,0.68,,0.02,0.86,"3,120,276,000,000",,  -   ,
78,OILS,Indo Oil Perkasa Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.63,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.63,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.63,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.63,,,  -   ,
79,BOBA,Formosa Ingredient Factory Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.89,,,  -   ,
80,CMRY,Cisarua Mountain Dairy Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.05,0.82,#DIV/0!,,,  -   ,,0.50,0.23,0.22,34.95,1.02,,0.05,0.82,"1,060,533,000,000",,  -   ,,0.49,0.30,0.22,28.78,1.10,,0.05,0.82,"1,241,715,000,000",,  -   ,,0.37,0.36,0.23,29.77,1.10,,0.05,0.82,"1,519,337,000,000",,  -   ,
81,TAYS,Jaya Swarasa Agung Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,
82,NASI,Wahana Inti Makmur Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.71,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.71,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.71,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.71,,,  -   ,
83,FAPA,FAP Agri Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.07,#DIV/0!,,,  -   ,,-0.03,-0.05,0.13,3.17,0.56,,0.00,0.07,"709,143,944,186",,  -   ,,-0.09,-0.03,0.05,4.04,0.59,,0.00,0.07,"153,570,962,880",,  -   ,,-0.07,0.03,0.11,3.79,0.65,,0.00,0.07,"542,473,400,017",,  -   ,
