Ticker,Year,TotalAset,TotalLiabilitas,TotalCurrentAssets,TotalCurrentLiabilities,NetIncome,OperatingCashFlow,RetainedEarning,EBIT,Sales,Depreciation,Amortization,OutstandingShares
SIMP,2023,35012351000000.0,13291426000000.0,9896897000000.0,9411112000000.0,926778000000.0,3830000000000.0,11942774000000.0,1930168000000.0,16002643000000.0,467829000000.0,2614000000,15501310000.0
SIPD,2021,2794113000000.0,1868100000000.0,1843743000000.0,1728951000000.0,15065000000.0,-129516000000.0,-459756000000.0,173822000000.0,5439581000000.0,0.0,0,1552620000.0
SIPD,2022,3002424000000.0,2300107000000.0,1897751000000.0,2174878000000.0,-218103000000.0,259846000000.0,-541941000000.0,107512000000.0,6047203000000.0,89819000000.0,2220000000,1339102579.0
SIPD,2023,3281471000000.0,2088422000000.0,2122106000000.0,1949230000000.0,-17315000000.0,1399842000000.0,-567626000000.0,10796000000.0,6091342000000.0,94534000000.0,4361000000,1839102056.0
SKBM,2020,1768660546754.0,806678887419.0,953792483691.0,701020837232.0,5415741808.0,19707485134.0,232076967769.0,47420936407.0,3165530224724.0,46757623080.0,76318788,1726003217.0
SKBM,2021,1970428120056.0,977942627046.0,1158132110148.0,883202660221.0,29707421605.0,-44012427508.0,261021339403.0,84814486135.0,3847887478570.0,77257705420.0,73650228,1730103217.0
SKBM,2022,2042199577083.0,968227917748.0,1263264444609.0,875854764088.0,86641358302.0,102191880734.0,345195424237.0,154984501258.0,3802296289773.0,39085271374.0,49343456,1730103217.0
SKBM,2023,1839622473747.0,772336980737.0,1073292054439.0,685185051134.0,2313299751.0,136863064344.0,329452600128.0,53940173641.0,2839561359367.0,47777101875.0,26198336,1730103217.0
SKLT,2020,773863042440.0,366908471713.0,379723220668.0,247102759160.0,42520246722.0,99975050847.0,186361929811.0,74743954513.0,1253700810596.0,26351692255.0,0,621666450.0
SKLT,2021,889125250792.0,347288021564.0,433383441542.0,241664687612.0,84524776901.0,127778774118.0,259555224957.0,98274666568.0,1356846112540.0,22911473629.0,0,621666450.0
SKLT,2022,1033289474829.0,442535947408.0,543799195487.0,333670108915.0,75154155539.0,16414344843.0,303790349708.0,88162274818.0,1539310803104.0,25555788883.0,0,621666450.0
SMAR,2020,35026171000000.0,22502490000000.0,18611747000000.0,14358630000000.0,1539798000000.0,623480000000.0,9784017000000.0,2323027000000.0,40434346000000.0,750482000000.0,78015000000,2872193366.0
