No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi
59,MGRO,Mahkota Group Tbk.,"1,820,202,594,748","1,110,402,314,328","78,537,148,077",,"809,016,739,979","787,148,083,629",,,"2,561,664,000,157","1,916,291,204,140","-20,104,462,276",,"1,429,234,676,110","1,359,463,510,265",,,"2,680,206,187,969","2,159,141,552,883","-152,233,515,056",,"1,425,676,108,473","1,693,114,250,515",,,"3,073,806,601,807","2,568,914,561,062","-20,850,947,852",,"1,576,711,480,334","1,811,731,208,213",,
60,GOOD,Garudafood Putra Putri Jaya Tb,,,,,,,,,"7,327,371,934,290","3,975,927,432,106","425,208,267,424",,"3,194,327,374,948","1,835,096,804,319",,,"7,427,707,902,688","3,518,496,516,469","580,412,724,554",,"3,325,304,800,609","1,872,541,607,518",,,"8,431,726,766,692","4,425,889,971,924","624,470,577,279",,"3,629,900,334,132","2,652,170,175,224",,
61,BEEF,Estika Tata Tiara Tbk.,,,,,,,,,"615,017,828,200","881,306,165,566","-93,605,399,937",,"39,055,344,194","299,265,301,028",,,"690,330,534,107","549,791,851,137","57,069,005,210",,"133,101,244,776","323,061,683,055",,,"2,194,978,339,108","1,932,991,565,333","102,995,767,911",,"1,348,023,785,723","1,341,212,254,344",,
62,COCO,Wahana Interfood Nusantara Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ITIC,Indonesian Tobacco Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,KEJU,Mulia Boga Raya Tbk.,,,,,,,,,"860,100,358,989","156,594,539,652","117,370,750,383",,"641,093,981,245","153,894,624,540",,,"828,378,354,007","157,605,395,595","80,342,415,257",,"626,945,337,747","155,478,057,562",,,"974,057,856,516","234,190,127,915","146,880,537,264",,"675,847,013,685","231,156,952,579",,
65,PSGO,Palma Serasih Tbk.,,,,,,,,,"4,140,857,067,187","2,454,764,947,737","257,682,090,851",,"1,304,904,227,804","650,908,995,178",,,"4,181,183,763,101","1,944,063,067,826","549,244,217,016",,"1,865,395,461,793","673,506,196,655",,,"3,950,324,909,015","1,509,614,343,486","350,647,372,618",,"1,623,238,575,978","581,639,479,501",,
66,AGAR,Asia Sejahtera Mina Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,UCID,Uni-Charm Indonesia Tbk.,,,,,,,,,"8,382,538,000,000","3,218,785,000,000","313,459,000,000",,"5,788,393,000,000","2,844,445,000,000",,,"8,487,854,000,000","2,924,204,000,000","434,574,000,000",,"5,606,490,000,000","2,543,062,000,000",,,"8,658,345,000,000","2,791,175,000,000","350,405,000,000",,"5,732,585,000,000","2,537,447,000,000",,
68,CSRA,Cisadane Sawit Raya Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,"214,854,888,133",,,,,
69,DMND,Diamond Food Indonesia Tbk.,,,,,,,,,"6,878,297,000,000","1,467,035,000,000","377,895,000,000",,"4,275,936,000,000","1,312,391,000,000",,,"7,166,880,000,000","1,335,148,000,000","311,183,000,000",,"4,138,435,000,000","1,163,284,000,000",,,"7,454,096,000,000","1,249,645,000,000","363,944,000,000",,"4,093,484,000,000","1,059,189,000,000",,
70,IKAN,Era Mandiri Cemerlang Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PGUN,Pradiksi Gunatama Tbk.,,,,,,,,,"2,347,517,612,881","918,351,509,165","172,151,655,670",,"289,998,443,433","197,371,836,873",,,"2,591,476,467,270","965,401,621,500","108,056,587,588",,"290,913,406,730","161,569,378,318",,,"2,639,198,599,962","846,246,848,867","79,181,162,728",,"367,880,500,497","211,181,140,925",,
72,PNGO,Pinago Utama Tbk.,,,,,,,,,"1,550,623,971,085","842,074,572,429","173,128,385,854",,"496,438,128,168","337,116,041,840",,,"1,489,149,097,101","692,307,357,059","191,350,331,516",,"340,964,810,671","272,538,539,776",,,"1,763,677,465,138","797,870,353,932","220,332,580,518",,"501,647,105,405","488,569,427,273",,
73,KMDS,Kurniamitra Duta Sentosa Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ENZO,Morenzo Abadi Perkasa Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,VICI,Victoria Care Indonesia Tbk.,"997,797,006,411","247,640,173,947","177,275,878,389",,"560,958,529,762","161,513,519,772",,,"1,150,904,222,886","349,890,773,766","97,639,053,688",,"631,372,396,667","245,940,888,500",,,"1,148,235,338,153","229,498,076,801","178,455,165,962",,"599,955,067,504","158,968,054,256",,,"1,284,957,443,404","261,064,980,740","175,945,630,508",,"665,720,837,796","161,688,873,370",,
76,WMUU,Widodo Makmur Unggas Tbk.,,,,,,,,,"2,710,571,959,100","1,512,868,131,940","-8,957,865,054",,"405,439,463,069","718,407,710,160",,,"2,468,816,418,317","1,491,459,810,622","-220,007,464,532",,"214,781,505,991","377,212,307,664",,,"2,392,824,255,285","1,535,072,479,477","-120,530,353,779",,"148,424,606,288","425,319,156,395",,
77,TAPG,Triputra Agro Persada Tbk.,,,,,,,,,"14,526,124,000,000","4,113,380,000,000","2,981,120,000,000",,"3,679,197,000,000","2,093,814,000,000",,,"13,867,387,000,000","2,527,847,000,000","1,608,217,000,000",,"2,445,565,000,000","1,958,582,000,000",,,"14,307,265,000,000","3,030,836,000,000","3,120,276,000,000",,"3,246,648,000,000","2,362,276,000,000",,
78,OILS,Indo Oil Perkasa Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,BOBA,Formosa Ingredient Factory Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CMRY,Cisarua Mountain Dairy Tbk.,,,,,,,,,"6,223,251,000,000","964,919,000,000","1,060,533,000,000",,"4,025,215,000,000","915,865,000,000",,,"7,046,857,000,000","1,105,529,000,000","1,241,715,000,000",,"4,539,143,000,000","1,060,722,000,000",,,"8,191,571,000,000","1,439,423,000,000","1,519,337,000,000",,"4,394,679,000,000","1,390,297,000,000",,
81,TAYS,Jaya Swarasa Agung Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,NASI,Wahana Inti Makmur Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,FAPA,FAP Agri Tbk.,,,,,,,,,"8,624,008,934,687","4,724,996,943,546","709,143,944,186",,"1,808,824,969,402","2,052,811,807,452",,,"8,634,035,445,735","4,570,386,466,869","153,570,962,880",,"1,800,278,705,459","2,594,224,802,654",,,"8,816,684,323,376","4,963,948,948,140","542,473,400,017",,"1,943,127,073,316","2,572,488,067,978",,
