NO,TICKER,NAMA PERUSAHAAN,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,
,,,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales
41,SKBM,Sekar Bumi Tbk.,#DIV/0!,,,"622,837,158,120",,"1,730,103,217",,0.19,"341,007,957,874","157,658,543,259","653,979,016,026","968,233,866,594","1,730,103,217","3,802,296,289,773",0.21,"331,450,310,066","58,338,871,684","543,252,410,138","772,343,255,862","1,730,103,217","2,839,561,359,367",0.17,"260,240,374,546","-61,248,464,760","785,466,860,518","852,908,675,358","1,730,103,217","2,269,370,863,582"
42,SKLT,Sekar Laut Tbk.,#DIV/0!,,,"1,509,183,728,800",,"6,236,296,400",,0.20,"289,975,539,708","99,726,749,593","1,216,077,798,000","442,535,947,408","6,236,296,400","1,539,310,803,104",0.30,"357,778,213,425","107,993,834,165","1,758,635,584,800","465,795,522,143","6,236,296,400","1,794,345,306,509",0.24,"444,448,714,667","161,288,787,317","1,241,022,983,600","607,398,668,005","6,236,296,400","2,293,274,190,663"
43,SMAR,Sinar Mas Agro Resources and T,#DIV/0!,,,"12,522,763,075,760",,"2,872,193,366",,0.27,"16,341,045,000,000","8,121,485,000,000","14,217,357,161,700","23,353,011,000,000","2,872,193,366","75,045,559,000,000",0.22,"16,198,132,000,000","2,358,078,000,000","11,488,773,464,000","20,644,500,000,000","2,872,193,366","66,530,549,000,000",0.24,"16,928,467,000,000","2,762,492,000,000","10,483,505,785,900","25,450,074,000,000","2,872,193,366","78,835,443,000,000"
44,SSMS,Sawit Sumbermas Sarana Tbk.,#DIV/0!,,,"9,191,625,000,000",,"9,525,000,000",,0.04,"3,616,933,978,000","2,556,053,492,000","14,001,750,000,000","9,092,405,909,000","9,525,000,000","11,240,219,016,000",0.02,"1,979,428,701,000","1,194,405,271,000","9,953,625,000,000","9,947,700,957,000","9,525,000,000","10,703,411,845,000",0.04,"2,280,648,313,000","1,797,095,367,000","12,382,500,000,000","8,986,349,964,000","9,525,000,000","10,366,799,435,000"
45,STTP,Siantar Top Tbk.,#DIV/0!,,,"9,890,500,000,000",,"1,310,000,000",,0.45,"3,606,039,292,165","756,754,646,979","10,021,500,000,000","662,339,075,974","1,310,000,000","4,931,553,771,470",0.55,"4,523,729,195,906","1,102,648,640,241","12,281,250,000,000","634,723,259,687","1,310,000,000","4,767,207,433,046",0.63,"5,833,728,608,282","1,509,020,956,462","17,848,750,000,000","616,035,183,328","1,310,000,000","4,959,939,533,239"
46,TBLA,Tunas Baru Lampung Tbk.,#DIV/0!,,,"4,710,962,561,609",,"6,004,151,372",,0.08,"5,369,202,000,000","2,167,548,000,000","4,118,388,661,403","16,841,410,000,000","6,004,151,372","16,579,960,000,000",0.13,"5,878,604,000,000","1,976,562,000,000","4,172,885,203,540","17,680,467,000,000","6,004,151,372","15,317,617,000,000",0.11,"6,122,678,000,000","2,102,478,000,000","3,692,553,093,780","19,315,115,000,000","6,004,151,372","17,410,560,000,000"
47,TCID,Mandom Indonesia Tbk.,#DIV/0!,,,"1,075,706,668,450",,"402,133,334",,0.58,"1,545,671,693,111","28,208,348,917","1,266,720,002,100","525,870,003,344","402,133,334","2,044,821,803,111",0.60,"1,576,733,760,866","44,679,576,185","1,097,824,001,820","505,779,174,136","402,133,334","2,050,460,062,443",0.53,"1,474,928,935,928","-159,463,526,986","872,629,334,780","553,955,057,903","402,133,334","1,859,368,093,471"
48,TGKA,Tigaraksa Satria Tbk.,#DIV/0!,,,"6,429,449,250,000",,"918,492,750",,0.46,"1,919,342,000,000","609,638,000,000","6,521,298,525,000","2,133,663,000,000","918,492,750","12,977,529,000,000",0.41,"2,038,514,000,000","594,566,000,000","5,924,278,237,500","2,365,654,000,000","918,492,750","14,210,135,000,000",0.43,"2,168,300,000,000","511,022,000,000","5,510,956,500,000","2,357,124,000,000","918,492,750","13,363,660,000,000"
49,ULTJ,Ultrajaya Milk Industry & Trad,#DIV/0!,,,"16,325,135,064,000",,"10,398,175,200",,0.43,"6,853,367,000,000","1,408,387,000,000","15,337,308,420,000","1,553,696,000,000","10,398,175,200","7,656,252,000,000",0.49,"5,927,160,000,000","1,554,133,000,000","16,637,080,320,000","836,988,000,000","10,398,175,200","8,302,741,000,000",0.47,"6,647,891,000,000","1,507,090,000,000","18,768,706,236,000","1,034,447,000,000","10,398,175,200","8,874,202,000,000"
50,UNVR,Unilever Indonesia Tbk.,#DIV/0!,,,"156,102,868,863,000",,"37,981,233,300",,-0.27,"3,809,696,000,000","7,079,014,000,000","178,511,796,510,000","14,320,858,000,000","37,981,233,300","41,218,881,000,000",-0.30,"3,193,678,000,000","6,307,846,000,000","134,073,753,549,000","13,282,848,000,000","37,981,233,300","38,611,401,000,000",-0.41,"1,961,707,000,000","3,823,418,000,000","71,594,624,770,500","13,896,928,000,000","37,981,233,300","30,622,614,000,000"
51,WAPO,Wahana Pronatural Tbk.,#DIV/0!,,,"229,570,775,535",,"1,240,923,111",,#DIV/0!,,,"310,230,777,750",,"1,240,923,111",,#DIV/0!,,,"112,924,003,101",,"1,240,923,111",,#DIV/0!,,,"168,765,543,096",,"1,240,923,111",
52,WIIM,Wismilak Inti Makmur Tbk.,#DIV/0!,,,"888,430,998,080",,"2,075,773,360",,0.56,"989,955,379,124","320,588,178,894","1,307,737,216,800","667,866,337,031","2,075,773,360","3,704,350,294,106",0.58,"1,322,583,803,587","635,753,124,776","3,684,497,714,000","728,434,659,389","2,075,773,360","4,874,784,628,824",0.48,"1,391,458,685,876","387,067,681,487","1,453,041,352,000","1,110,516,776,947","2,075,773,360","4,750,889,829,726"
53,DAYA,Duta Intidaya Tbk.,#DIV/0!,,,"735,846,295,600",,"2,420,547,025",,-0.25,"-266,606,371,000","-16,994,428,000","513,155,969,300","653,464,291,000","2,420,547,025","1,161,587,724,000",-0.23,"-283,037,139,000","6,108,655,000","697,117,543,200","672,135,240,000","2,420,547,025","1,546,000,252,000",-0.19,"-237,569,048,000","83,223,596,000","1,815,410,268,750","912,026,108,000","2,420,547,025","2,061,051,886,000"
54,DPUM,Dua Putra Utama Makmur Tbk.,#DIV/0!,,,"208,227,000,000",,"4,164,540,000",,0.13,"-556,442,244,721","-48,046,486,328","208,227,000,000","778,536,207,332","4,164,540,000","723,804,994,492",0.16,"-698,740,751,885","-87,035,578,529","154,087,980,000","769,712,292,179","4,164,540,000","920,006,985,203",0.21,"-735,793,553,676","11,625,645,786","266,530,560,000","794,158,844,802","4,164,540,000","1,098,223,293,439"
55,KINO,Kino Indonesia Tbk.,#DIV/0!,,,"2,799,002,367,000",,"1,378,818,900",,-0.05,"179,331,856,511","-746,358,478,269","2,116,487,011,500","3,142,551,744,669","1,378,818,900","3,631,451,490,321",-0.08,"320,589,006,573","282,277,232,190","1,744,205,908,500","3,027,648,359,660","1,378,818,900","4,136,181,747,640",-0.14,"397,535,137,594","250,945,844,291","1,654,582,680,000","2,851,025,198,999","1,378,818,900","4,367,489,499,567"
56,CLEO,Sariguna Primatirta Tbk.,#DIV/0!,,,"5,640,000,000,000",,"24,000,000,000",,0.03,"686,666,568,960","265,815,716,753","6,660,000,000,000","581,132,890,435","24,000,000,000","1,674,053,536,287",0.04,"972,765,098,175","433,002,389,825","8,520,000,000,000","781,642,680,910","24,000,000,000","2,090,115,884,030",0.03,"1,378,000,404,651","635,171,947,615","18,900,000,000,000","733,610,559,278","24,000,000,000","2,696,813,747,786"
57,HOKI,Buyung Poetra Sembada Tbk.,#DIV/0!,,,"1,751,673,235,080",,"9,677,752,680",,0.33,"265,931,060,025","21,875,976,950","996,808,526,040","142,744,113,133","9,677,752,680","925,708,985,640",0.26,"254,731,759,666","13,897,273,768","1,674,251,213,640","384,617,373,377","9,677,752,680","1,284,510,497,729",0.26,"243,921,559,198","23,222,329,051","1,093,586,052,840","476,342,774,032","9,677,752,680","1,298,675,060,004"
58,CAMP,Campina Ice Cream Industry Tbk,#DIV/0!,,,"1,706,650,000,000",,"5,885,000,000",,0.65,"124,910,952,844","158,256,367,163","1,800,810,000,000","133,323,429,397","5,885,000,000","1,129,360,552,136",0.39,"127,426,464,539","150,104,973,066","2,365,770,000,000","136,086,922,155","5,885,000,000","1,135,790,489,555",0.35,"97,110,136,525","119,104,833,912","1,506,560,000,000","148,194,431,953","5,885,000,000","1,158,489,850,210"
59,MGRO,Mahkota Group Tbk.,0.01,"133,705,410,906","175,410,483,631","2,996,496,330,000","1,110,402,314,328","3,525,289,800","7,313,139,597,522",0.03,"87,923,841,753","88,981,718,478","2,978,869,881,000","1,916,291,204,140","3,525,289,800","7,505,700,941,167",-0.10,"-64,309,673,303","-46,306,859,369","2,485,329,309,000","2,159,141,552,883","3,525,289,800","5,425,478,049,944",-0.08,"-85,160,621,155","81,547,267,329","2,450,076,411,000","2,568,914,561,062","3,525,289,800","4,685,748,870,926"
60,GOOD,Garudafood Putra Putri Jaya Tb,#DIV/0!,,,"19,360,740,448,875",,"36,877,600,855",,0.19,"1,614,260,960,871","830,934,107,818","19,360,740,448,875","3,975,927,432,106","36,877,600,855","10,510,942,813,705",0.20,"1,970,611,813,166","948,920,548,404","15,857,368,367,650","3,518,496,516,469","36,877,600,855","10,543,572,559,649",0.12,"2,260,166,116,850","1,042,079,454,073","15,193,571,552,260","4,425,889,971,924","36,877,600,855","12,235,369,422,252"
61,BEEF,Estika Tata Tiara Tbk.,#DIV/0!,,,"534,384,251,379",,"8,120,249,598",,-0.42,"-548,933,944,039","-120,691,824,856","464,070,511,267","881,306,165,566","8,120,249,598","39,116,821,863",-0.28,"-492,177,767,764","69,254,831,674","1,743,780,110,454","549,791,851,137","8,120,249,598","611,771,423,767",0.00,"-388,981,105,673","176,323,793,741","1,063,537,102,332","1,932,991,565,333","8,120,249,598","4,930,799,547,693"
62,COCO,Wahana Interfood Nusantara Tbk,#DIV/0!,,,"1,025,123,306,112",,"3,559,455,924",,#DIV/0!,,,"953,934,187,632",,"3,559,455,924",,#DIV/0!,,,"622,904,786,700",,"3,559,455,924",,#DIV/0!,,,"291,875,385,768",,"3,559,455,924",
63,ITIC,Indonesian Tobacco Tbk.,#DIV/0!,,,"257,757,280,000",,"940,720,000",,#DIV/0!,,,"246,468,640,000",,"940,720,000",,#DIV/0!,,,"282,216,000,000",,"940,720,000",,#DIV/0!,,,"233,298,560,000",,"940,720,000",
64,KEJU,Mulia Boga Raya Tbk.,#DIV/0!,,,"1,777,499,999,684",,"5,624,999,999",,0.57,"400,145,879,422","151,258,845,585","2,145,000,056,839","156,594,539,652","5,624,999,999","1,044,368,857,579",0.57,"367,988,294,679","104,039,135,409","1,732,499,999,692","157,605,395,595","5,624,999,999","1,019,669,802,028",0.46,"435,368,831,943","186,235,224,083","4,556,249,999,190","234,190,127,915","5,624,999,999","1,264,335,961,440"
65,PSGO,Palma Serasih Tbk.,#DIV/0!,,,"4,071,600,000,000",,"18,850,000,000",,0.16,"-180,195,903,737","467,232,475,909","2,752,100,000,000","2,454,764,947,737","18,850,000,000","1,972,824,875,264",0.29,"369,048,313,279","803,047,902,881","2,507,050,000,000","1,944,063,067,826","18,850,000,000","2,049,487,832,334",0.26,"474,645,685,897","540,170,407,602","3,562,650,000,000","1,509,614,343,486","18,850,000,000","2,127,994,680,911"
66,AGAR,Asia Sejahtera Mina Tbk.,#DIV/0!,,,"368,000,000,000",,"1,000,000,000",,#DIV/0!,,,"278,000,000,000",,"1,000,000,000",,#DIV/0!,,,"106,000,000,000",,"1,000,000,000",,#DIV/0!,,,"226,000,000,000",,"1,000,000,000",
67,UCID,Uni-Charm Indonesia Tbk.,#DIV/0!,,,"6,027,029,835,000",,"4,156,572,300",,0.35,"3,624,824,000,000","454,574,000,000","4,551,446,668,500","3,218,785,000,000","4,156,572,300","10,317,193,000,000",0.36,"4,024,763,000,000","594,560,000,000","4,156,572,300,000","2,924,204,000,000","4,156,572,300","10,245,160,000,000",0.37,"4,311,465,000,000","479,464,000,000","3,158,994,948,000","2,791,175,000,000","4,156,572,300","9,675,468,000,000"
68,CSRA,Cisadane Sawit Raya Tbk.,#DIV/0!,,,"1,025,000,000,000",,"2,050,000,000",,#DIV/0!,,,"1,168,500,000,000",,"2,050,000,000",,#DIV/0!,,,"967,600,000,000",,"2,050,000,000",,#DIV/0!,,"342,210,785,803","1,486,250,000,000",,"2,050,000,000","1,066,759,270,113"
69,DMND,Diamond Food Indonesia Tbk.,#DIV/0!,,,"8,284,814,125,000",,"9,468,359,000",,0.43,"3,113,523,000,000","504,196,000,000","7,716,712,585,000","1,467,035,000,000","9,468,359,000","8,461,768,000,000",0.42,"3,348,952,000,000","429,127,000,000","7,716,712,585,000","1,335,148,000,000","9,468,359,000","9,239,926,000,000",0.41,"3,658,086,000,000","467,715,000,000","7,574,687,200,000","1,249,645,000,000","9,468,359,000","9,811,549,000,000"
70,IKAN,Era Mandiri Cemerlang Tbk.,#DIV/0!,,,"79,166,635,000",,"833,333,000",,#DIV/0!,,,"49,166,647,000",,"833,333,000",,#DIV/0!,,,"41,666,650,000",,"833,333,000",,#DIV/0!,,,"19,999,992,000",,"833,333,000",
71,PGUN,Pradiksi Gunatama Tbk.,#DIV/0!,,,"2,226,285,366,216",,"5,737,848,882",,0.04,"-122,940,927,208","251,478,514,803","4,618,968,350,010","918,351,509,165","5,737,848,882","1,007,305,060,864",0.05,"46,028,539,243","189,807,846,637","2,386,945,134,912","965,401,621,500","5,737,848,882","868,456,776,538",0.06,"174,452,283,389","145,659,269,977","2,432,847,925,968","846,246,848,867","5,737,848,882","738,565,449,724"
72,PNGO,Pinago Utama Tbk.,#DIV/0!,,,"1,214,843,750,000",,"781,250,000",,0.10,"605,038,256,645","278,070,978,044","1,093,750,000,000","842,074,572,429","781,250,000","2,034,457,645,981",0.05,"685,513,920,052","291,446,025,348","1,093,750,000,000","692,307,357,059","781,250,000","2,037,284,494,747",0.01,"853,985,717,302","330,414,974,809","1,257,812,500,000","797,870,353,932","781,250,000","2,042,868,724,833"
73,KMDS,Kurniamitra Duta Sentosa Tbk.,#DIV/0!,,,"347,200,000,000",,"800,000,000",,#DIV/0!,,,"460,000,000,000",,"800,000,000",,#DIV/0!,,,"339,200,000,000",,"800,000,000",,#DIV/0!,,,"468,000,000,000",,"800,000,000",
74,ENZO,Morenzo Abadi Perkasa Tbk.,#DIV/0!,,,"108,127,356,100",,"2,162,547,122",,#DIV/0!,,,"142,728,110,052",,"2,162,547,122",,#DIV/0!,,,"108,127,356,100",,"2,162,547,122",,#DIV/0!,,,"75,689,149,270",,"2,162,547,122",
75,VICI,Victoria Care Indonesia Tbk.,0.40,"356,406,604,642","240,188,606,261","3,454,620,000,000","247,640,173,947","6,708,000,000","1,153,102,243,817",0.33,"387,089,658,330","147,723,788,385","3,421,080,000,000","349,890,773,766","6,708,000,000","1,045,720,530,167",0.38,"502,172,824,292","249,350,503,611","4,360,200,000,000","229,498,076,801","6,708,000,000","1,362,119,699,094",0.39,"604,684,454,800","234,776,581,167","4,393,740,000,000","261,064,980,740","6,708,000,000","1,404,132,465,162"
76,WMUU,Widodo Makmur Unggas Tbk.,#DIV/0!,,,"1,980,000,004,500",,"12,941,176,500",,-0.12,"288,147,602,111","68,688,850,636","1,100,000,002,500","1,512,868,131,940","12,941,176,500","2,457,607,034,533",-0.07,"68,140,137,579","-159,314,811,774","647,058,825,000","1,491,459,810,622","12,941,176,500","336,684,940,840",-0.12,"-52,390,216,200","-94,991,166,146","129,411,765,000","1,535,072,479,477","12,941,176,500","378,126,622,942"
77,TAPG,Triputra Agro Persada Tbk.,#DIV/0!,,,"12,110,049,400,000",,"19,852,540,000",,0.11,"4,898,154,000,000","3,800,614,000,000","12,606,362,900,000","4,113,380,000,000","19,852,540,000","9,345,641,000,000",0.04,"5,751,974,000,000","2,059,009,000,000","10,819,634,300,000","2,527,847,000,000","19,852,540,000","8,325,887,000,000",0.06,"5,556,876,000,000","4,002,347,000,000","15,187,193,100,000","3,030,836,000,000","19,852,540,000","9,671,463,000,000"
78,OILS,Indo Oil Perkasa Tbk.,#DIV/0!,,,"154,379,231,420",,"454,056,563",,#DIV/0!,,,"96,259,991,356",,"454,056,563",,#DIV/0!,,,"60,389,522,879",,"454,056,563",,#DIV/0!,,,"42,681,316,922",,"454,056,563",
79,BOBA,Formosa Ingredient Factory Tbk,#DIV/0!,,,"265,822,500,000",,"1,155,750,000",,#DIV/0!,,,"212,658,000,000",,"1,155,750,000",,#DIV/0!,,,"195,321,750,000",,"1,155,750,000",,#DIV/0!,,,"202,256,250,000",,"1,155,750,000",
80,CMRY,Cisarua Mountain Dairy Tbk.,#DIV/0!,,,"26,977,922,200,000",,"7,934,683,000",,0.50,"1,435,506,000,000","1,348,453,000,000","33,722,402,750,000","964,919,000,000","7,934,683,000","6,378,348,000,000",0.49,"2,118,469,000,000","1,567,192,000,000","31,818,078,830,000","1,105,529,000,000","7,934,683,000","7,772,910,000,000",0.37,"2,929,240,000,000","1,904,899,000,000","42,847,288,200,000","1,439,423,000,000","7,934,683,000","9,025,658,000,000"
81,TAYS,Jaya Swarasa Agung Tbk.,#DIV/0!,,,"195,607,760,000",,"1,098,920,000",,#DIV/0!,,,"512,096,720,000",,"1,098,920,000",,#DIV/0!,,,"112,089,840,000",,"1,098,920,000",,#DIV/0!,,,"54,946,000,000",,"1,098,920,000",
82,NASI,Wahana Inti Makmur Tbk.,#DIV/0!,,,"180,857,600,000",,"807,400,000",,#DIV/0!,,,"81,547,400,000",,"807,400,000",,#DIV/0!,,,"62,169,800,000",,"807,400,000",,#DIV/0!,,,"62,977,200,000",,"807,400,000",
83,FAPA,FAP Agri Tbk.,#DIV/0!,,,"11,186,817,258,000",,"3,484,989,800",,-0.03,"-433,969,868,365","1,162,889,605,060","14,985,456,140,000","4,724,996,943,546","3,484,989,800","4,828,633,601,246",-0.09,"-280,398,905,485","472,189,838,933","18,470,445,940,000","4,570,386,466,869","3,484,989,800","5,062,243,740,223",-0.07,"262,074,494,532","1,012,605,211,536","18,818,944,920,000","4,963,948,948,140","3,484,989,800","5,742,983,944,479"
