NO,TICKER,NAMA PERUSAHAAN,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,
,,,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales,Working Cap,Retained Earning,EBIT,Market Value of Equity,Book value of total liabilities,Jumlah Saham Beredar,Sales
11,CPRO,Central Proteina Prima Tbk.,- 0.04 ,"- 4,130,091,000,000.00 ","  817,975,000,000.00 ","  5,659,376,364,765.00 ","  3,570,697,000,000.00 ","  59,572,382,787.00 ","  8,028,078,000,000.00 ",  0.03 ,"- 3,748,272,000,000.00 ","  805,564,000,000.00 ","  3,157,336,287,711.00 ","  3,651,905,000,000.00 ","  59,572,382,787.00 ","  8,242,343,000,000.00 ",  0.02 ,"- 3,332,047,000,000.00 ","  714,222,000,000.00 ","  3,038,191,522,137.00 ","  3,436,635,000,000.00 ","  59,572,382,787.00 ","  9,027,276,000,000.00 ",  0.01 ,"- 3,000,774,999,900.00 ","  656,524,000,000.00 ","  2,978,619,139,350.00 ","  3,137,670,000,000.00 ","  59,572,382,787.00 ","  9,280,242,000,000.00 "
12,DLTA,Delta Djakarta Tbk.,  0.71 ,"  971,735,552,000.00 ","  240,865,871,000.00 ","  2,994,464,847,000.00 ","  298,548,048,000.00 ","  800,659,050.00 ","  681,205,785,000.00 ",  0.70 ,"  962,481,254,000.00 ","  294,211,660,000.00 ","  3,066,524,161,500.00 ","  306,410,502,000.00 ","  800,659,050.00 ","  778,744,315,000.00 ",  0.70 ,"  895,601,896,000.00 ","  251,130,452,000.00 ","  2,826,326,446,500.00 ","  273,635,750,000.00 ","  800,659,050.00 ","  736,838,613,000.00 ",  0.67 ,"  810,999,126,000.00 ","  181,357,141,000.00 ","  1,721,416,957,500.00 ","  268,273,068,000.00 ","  800,659,050.00 ","  646,763,576,000.00 "
13,DSFI,Dharma Samudera Fishing Indust,#DIV/0!,,,"176,427,872,500",,"1,857,135,500",,#DIV/0!,,,"168,999,330,500",,"1,857,135,500",,#DIV/0!,,,"126,285,214,000",,"1,857,135,500",,#DIV/0!,,,"105,856,723,500",,"1,857,135,500",
14,DSNG,Dharma Satya Nusantara Tbk.,  0.03 ,"  3,974,755,000,000.00 ","  1,392,616,000,000.00 ","  5,279,921,200,000.00 ","  6,686,697,000,000.00 ","  10,559,842,400.00 ","  7,124,495,000,000.00 ",  0.01 ,"  5,006,009,000,000.00 ","  2,172,475,000,000.00 ","  6,335,905,440,000.00 ","  7,197,089,000,000.00 ","  10,559,842,400.00 ","  9,633,671,000,000.00 ",  0.00 ,"  5,562,053,000,000.00 ","  1,555,713,000,000.00 ","  5,860,712,532,000.00 ","  7,288,850,000,000.00 ","  10,559,842,400.00 ","  9,498,749,000,000.00 ",  0.02 ,"  6,497,295,000,000.00 ","  2,123,670,000,000.00 ","  10,031,850,280,000.00 ","  7,515,101,000,000.00 ","  10,559,842,400.00 ","  10,119,220,000,000.00 "
15,EPMT,Enseval Putera Megatrading Tbk,0.55,"6,364,821,405,069","1,087,158,303,990","7,313,328,000,000","2,882,998,501,598","2,708,640,000","25,673,756,765,637",0.54,"6,648,604,216,038","1,101,878,260,531","7,448,760,000,000","3,264,730,959,090","2,708,640,000","28,027,488,218,598",0.52,"6,773,356,250,405","903,121,461,840","7,015,377,600,000","3,658,018,645,691","2,708,640,000","28,507,872,779,591",0.51,"7,058,610,939,365","973,358,807,964","6,581,995,200,000","3,909,755,238,452","2,708,640,000","30,957,341,452,181"
16,FISH,FKS Multi Agro Tbk.,0.17,"140,284,516","41,033,452","36,720,000,000,000","382,956,761","4,800,000,000","1,356,597,129",0.23,"163,517,312","50,694,507","32,400,000,000,000","294,069,760","4,800,000,000","1,565,130,699",0.19,"172,739,152","43,637,020","26,520,000,000,000","312,181,076","4,800,000,000","1,401,034,930",0.17,"171,939,555","24,456,123","51,120,000,000,000","347,204,245","4,800,000,000","1,292,650,185"
17,GGRM,Gudang Garam Tbk.,#DIV/0!,,,"58,877,092,800,000",,"1,924,088,000",,0.30,"56,673,532,000,000","3,908,926,000,000","34,633,584,000,000","30,706,651,000,000","1,924,088,000","124,682,692,000,000",0.27,"59,680,407,000,000","7,439,598,000,000","39,107,088,600,000","31,587,980,000,000","1,924,088,000","118,952,997,000,000",0.32,"60,734,156,000,000","1,903,460,000,000","25,542,268,200,000","23,022,685,000,000","1,924,088,000","98,655,483,000,000"
18,GZCO,Gozco Plantations Tbk.,#DIV/0!,,,"398,796,609,000",,"5,779,661,000",,0.00,"-1,169,606,000,000","136,889,000,000","468,152,541,000","892,864,000,000","5,779,661,000","554,721,000,000",0.11,"-1,169,285,000,000","44,427,000,000","693,559,320,000","949,928,000,000","5,779,661,000","744,266,000,000",-0.10,"-1,107,731,000,000","115,522,000,000","653,101,693,000","1,089,263,000,000","5,779,661,000","804,647,000,000"
19,HERO,DFI Retail Nusantara Tbk.,#DIV/0!,,,"7,697,886,560,000",,"4,183,634,000",,-0.13,"-2,301,104,000,000","-2,331,000,000","6,275,451,000,000","5,972,429,000,000","4,183,634,000","4,436,667,000,000",-0.31,"-2,432,528,000,000","-84,393,000,000","3,702,516,090,000","4,346,104,000,000","4,183,634,000","4,387,448,000,000",-0.31,"-2,352,657,000,000","96,761,000,000","2,363,753,210,000","3,226,546,000,000","4,183,634,000","4,543,989,000,000"
20,HMSP,H.M. Sampoerna Tbk.,#DIV/0!,,,"112,246,944,208,500",,"116,318,076,900",,0.31,"6,370,419,000,000","8,295,105,000,000","97,707,184,596,000","26,616,824,000,000","116,318,076,900","111,211,321,000,000",0.30,"8,071,928,000,000","10,335,945,000,000","104,104,678,825,500","25,446,411,000,000","116,318,076,900","115,983,384,000,000",0.27,"6,543,087,000,000","8,713,117,000,000","73,861,978,831,500","25,934,279,000,000","116,318,076,900","117,880,017,000,000"
